,Unnamed: 0,date,open,high,low,close,trading_volume,trading_value,code
277468,40,2018-03-02,76300,77800,75900,77400,2673152,205504720300,000660
277469,41,2018-03-05,77500,78900,77100,78300,3415061,267148137300,000660
277470,42,2018-03-06,80100,82500,80000,82400,7588369,619123491100,000660
277471,43,2018-03-07,83600,83900,82400,82700,4992841,415345418630,000660
277472,44,2018-03-08,83900,84300,81800,83500,4440076,368775666200,000660
277473,45,2018-03-09,84400,85900,83100,83300,5159197,435692699900,000660
277474,46,2018-03-12,84900,85600,84300,84900,2744795,232739645100,000660
277475,47,2018-03-13,88000,90000,87600,90000,8775741,779442892670,000660
277476,48,2018-03-14,89300,90900,89200,90700,5939290,535697608620,000660
277477,49,2018-03-15,90300,90500,88600,89600,4106667,368089805300,000660
277478,50,2018-03-16,88500,89900,87200,89800,5006430,443288819100,000660
277479,51,2018-03-19,90200,91500,89500,89900,3743718,338733400500,000660
277480,52,2018-03-20,88900,89700,88000,89600,3083666,274080832700,000660
277481,53,2018-03-21,89600,90300,88000,88400,2942484,261699794700,000660
277482,54,2018-03-22,88800,89300,88000,88600,2698169,238879676000,000660
277483,55,2018-03-23,85100,86400,82800,83100,7310739,618805886350,000660
277484,56,2018-03-26,82300,84000,81000,84000,6121334,506369596400,000660
277485,57,2018-03-27,84700,84800,80100,81400,7184488,590162643500,000660
277486,58,2018-03-28,79900,82200,79600,80300,4820673,388613925200,000660
277487,59,2018-03-29,80800,81300,79600,80300,3618849,290922635000,000660
277488,60,2018-03-30,81200,83300,81100,81300,3681673,302666319700,000660
277489,61,2018-04-02,81700,82800,81100,81300,2342407,191645987020,000660
277490,62,2018-04-03,80300,81800,78700,81800,3553815,285147652000,000660
277491,63,2018-04-04,82500,83000,80000,80400,2964537,240511936000,000660
277492,64,2018-04-05,82200,83200,81200,82900,3255356,267910681620,000660
277493,65,2018-04-06,80000,80600,79300,80300,5693281,455070668100,000660
277494,66,2018-04-09,80000,81200,79300,80600,3231256,259648599800,000660
277495,67,2018-04-10,80000,80800,79200,80400,2924054,234352272400,000660
277496,68,2018-04-11,82400,82400,81000,81200,3053453,249613086540,000660
277497,69,2018-04-12,81900,85100,81500,84000,5725102,480101483900,000660
277498,70,2018-04-13,85000,85900,83900,84200,3032369,256894654900,000660
277499,71,2018-04-16,84200,84700,83400,84000,1489091,125115608540,000660
277500,72,2018-04-17,83900,84000,82300,82800,2501282,207410219800,000660
277501,73,2018-04-18,84100,85400,83700,84600,3375376,285513064600,000660
277502,74,2018-04-19,85800,88200,85300,87900,5901782,513551826600,000660
277503,75,2018-04-20,85900,86300,84000,84400,4590640,389375443600,000660
277504,76,2018-04-23,83400,85300,83300,84400,3002461,252483827900,000660
277505,77,2018-04-24,83300,83400,80400,82100,6804182,555780178700,000660
277506,78,2018-04-25,81600,83000,80900,82400,3845661,315689610800,000660
277507,79,2018-04-26,83800,87100,83300,86500,7551747,648417132400,000660
277508,80,2018-04-27,88500,88800,86800,87100,4961867,434696346800,000660
277509,81,2018-04-30,85400,85700,84000,84500,4653153,393799375110,000660
277510,82,2018-05-02,85900,86000,82900,83100,5444240,456705976210,000660
277511,83,2018-05-03,83200,83900,82800,82900,2362792,196480544350,000660
277512,84,2018-05-04,83500,84100,82600,83000,2696141,224377596430,000660
277513,85,2018-05-08,84500,85300,83200,83500,2979605,251643310000,000660
277514,86,2018-05-09,84300,84700,83100,83400,2284106,191564281800,000660
277515,87,2018-05-10,85400,85800,84500,85800,3274963,279371930400,000660
277516,88,2018-05-11,86600,86800,85400,86100,2107047,181614303400,000660
277517,89,2018-05-14,86100,86300,84500,85400,1959236,166897435100,000660
277518,90,2018-05-15,86000,86000,83900,84600,2239370,189446023200,000660
277519,91,2018-05-16,85000,87000,84800,87000,3040180,262370966400,000660
277520,92,2018-05-17,88400,88700,86000,86700,2864278,249977892300,000660
277521,93,2018-05-18,87200,88000,85400,87900,2187789,190404218000,000660
277522,94,2018-05-21,88400,89400,87400,89100,3262983,289545162600,000660
277523,95,2018-05-23,91900,95500,91500,95300,10378915,970733836900,000660
277524,96,2018-05-24,95300,95900,94600,94600,3220029,306757048500,000660
277525,97,2018-05-25,94300,97700,93900,95200,4145819,397046637200,000660
277526,98,2018-05-28,94600,95600,93700,94500,2505786,236670587900,000660
